その後,引退
ふたご,座
アイルランド,系
アミューズ,所属
アメリカ,代表
アメリカ,国籍
アルゼンチン,代表
イングランド,代表
インドネシア,代表
ウルグアイ,代表
エクアドル,代表
カタール,代表
カナダ,代表
ギリシャ,代表
クロアチア,代表
コメディ,映画
コロンビア,代表
ザンビア,代表
スイス,代表
スウェーデン,代表
スロベニア,代表
ソウル,生まれ
ソフィア,生まれ
タイ,代表
タリン,生まれ
チェコ,代表
ツッコミ,担当
デンマーク,代表
トロント,出身
ナイジェリア,代表
ハンガリー,代表
パリ,生まれ
フランス,代表
フランス,系
ブダペスト,生まれ
ブラジル,代表
ブルネイ,代表
プロ,ボクサー
プロ,レスラー
ベルギー,代表
ベルリン,出身
ポーランド,代表
マリ,代表
マレーシア,代表
ミキハウス,所属
モスクワ,出身
リーグ,優勝
ルーマニア,代表
ロシア,代表
ロンドン,生まれ
ローマ,出身
ローマ,生まれ
一橋 大学,卒
一橋 大学,教授
下総,守
中国,原産
中国,生まれ
中央 大学,中退
中央 大学,卒業
丹波,守
享年,２０
享年,２３
享年,２４
享年,３０
享年,３２
享年,３６
享年,３７
享年,３９
享年,４０
享年,４２
享年,４９
享年,５２
享年,５４
享年,６０
享年,６１
享年,６３
享年,６８
享年,７２
享年,７４
享年,７５
享年,７７
享年,７８
享年,７９
享年,８０
享年,８１
享年,８２
享年,８３
享年,８４
享年,９２
京都 大学,教授
保守,派
公明党,所属
兵部,少輔
創価 大学,教授
劇団 四季,所属
劉表,配下
北京,出身
北海道,生まれ
北海道 浦河,出身
千葉 大学,教授
参議院,議員
双子,座
台北,生まれ
台湾,出身
名古屋,出身
名古屋 大学,教授
土佐,藩士
地下,駅
埼玉,在住
埼玉 大学,教授
大内,介
大蔵,次官
大阪 大学,教授
大韓民国,代表
子房,上位
学術,博士
尾張,守
尾張 国,出身
岐阜,生まれ
岡本 喜八,監督
左京,亮
帝国 大学,中退
年,７０
幼名,百助
広報,外交
広島,藩士
広島 大学,教授
愛媛 大学,教授
成城 大学,教授
技術,士
文部 省,唱歌
日展,会員
日本,出身
日本 航空,入社
昭和,初期
月刊,誌
朝鮮 京城,生まれ
札幌,生まれ
東京,育ち
東京 大学,教授
東北 大学,教授
松山,生まれ
松竹 芸能,所属
柔道,初段
柔道 四,段
検事,総長
横浜,出身
歩兵,大将
歯科,医
毎週 木曜日,更新
毎週 金曜日,更新
江戸 幕府,旗本
法政 大学,教授
清和,源氏
満州,族
満州 国,生まれ
特技,殺陣
直営,駅
社員 配置,駅
神戸,生まれ
神戸 大学,教授
空手,黒帯
精神 科,医
紀伊 国,生まれ
紫綬 褒章,受章
肥前 国,出身
背番号,０
背番号,１４
背番号,１５
背番号,２
背番号,３１
背番号,３２
若狭,守護
茨城 大学,教授
落葉,高木
落語 協会,会員
血液型,Ｂ型
評議,員
豊前,守
農学,博士
連合 王国,貴族
関西,出身
関西,所属
関西 大学,教授
陸上 自衛,官
陸軍,少将
陸軍,軍人
雌雄 異,株
韓国,代表
駐車 場,あり
魯国,出身
１５０,石
２,女
２０,巻
４ 巻,登場
５４,ページ
６０,期
ＡＲＲＯＷＳ,所属
Ａｉ,対応
ＳＦ,映画
